town_code,town_name,district_code,state_code
800843,Ujhani (NPP),149,9
800844,Budaun (NPP),149,9
800845,Kunwargaon (NP),149,9
800846,Gulariya (NP),149,9
800847,Sakhanu (NP),149,9
800848,Kakrala (NPP),149,9
800849,Allapur (NP),149,9
800850,Dataganj (NP),149,9
800851,Usawan (NP),149,9
800852,Usehat (NP),149,9
800853,Baheri (NPP),150,9
800854,Faridpur (NP),150,9
800855,Richha (NP),150,9
800856,Deoranian (NP),150,9
800857,Shergarh (NP),150,9
800858,Shishgarh (NP),150,9
800859,Mirganj (NP),150,9
800860,Fatehganj Pashchimi (NP),150,9
800861,Shahi (NP),150,9
800862,Bisharatganj (NP),150,9
800863,Aonla (NPP),150,9
800864,Sirauli (NP),150,9
800865,Dhaura Tanda (NP),150,9
800866,Bareilly (M Corp. + OG),150,9
800866,Bareilly (M Corp.),150,9
800867,Bareilly (CB),150,9
800868,Thiriya Nizamat Khan (NP),150,9
800869,Rithora (NP),150,9
800870,Sainthal (NP),150,9
800871,Nawabganj (NPP),150,9
800872,Fatehganj Purvi (NP),150,9
800873,Faridpur (NPP),150,9
800874,Gulariya Bhindara (NP),151,9
800875,Nyoria Husainpur (NP),151,9
800876,Jahanabad (NP),151,9
800877,Pilibhit (NPP),151,9
800878,Barkhera (NP),151,9
800879,Bisalpur (NPP),151,9
800880,Bilsanda (NP),151,9
800881,Kalinagar (NP),151,9
800882,Puranpur (NPP),151,9
800883,Khutar (NP),152,9
800884,Powayan (NP),152,9
800885,Khudaganj (NP),152,9
800886,Katra (NP),152,9
800887,Tilhar (NPP),152,9
800888,Railway Settlement Roza (NP),152,9
800889,Shahjahanpur (NPP),152,9
800890,Shahjahanpur (CB),152,9
800891,Kanth (NP),152,9
800892,Jalalabad (NPP),152,9
800893,Allahganj (NP),152,9
800894,Singahi Bhiraura (NP),153,9
800895,Paliya Kalan (NPP),153,9
800896,Mailani (NP),153,9
800897,Gola Gokaran Nath (NPP),153,9
800898,Mohammadi (NPP),153,9
800899,Barwar (NP),153,9
800900,Lakhimpur (NPP),153,9
800901,Kheri (NP),153,9
800902,Oel Dhakwa (NP),153,9
800903,Dhaurehra (NP),153,9
800904,Maholi (NP),154,9
800905,Misrikh-cum-Neemsar (NPP),154,9
800906,Khairabad (NPP),154,9
800907,Sitapur (NPP),154,9
800908,Hargaon (NP),154,9
800909,Laharpur (NPP),154,9
800910,Tambaur-cum-Ahamdabad (NP),154,9
800911,Biswan (NPP),154,9
800912,Mahmudabad (NPP),154,9
800913,Paintepur (NP),154,9
800914,Sidhauli (NP),154,9
800915,Shahabad (NPP),155,9
800916,Pihani (NPP),155,9
800917,Pali (NP),155,9
800918,Gopamau (NP),155,9
800919,Hardoi (NPP + OG),155,9
800919,Hardoi (NPP),155,9
800920,Sandi (NPP),155,9
800921,Bilgram (NPP),155,9
800922,Madhoganj (NP),155,9
800923,Mallawan (NPP),155,9
800924,Kursath (NP),155,9
